Product,Qty
BINGO ORI&STY SALT SPRINKLED 22GM12.00,8
BINGO MAD ANGLES ACHAARI ASTI,12
BINGO MAD ANG MMMMM MASALA 66G8.00,16
BINGO MAD ANG VERY PERI PERI 66G8.00,16
BINGO NACHOS CHEESE 44GM,7
BINGO NACHOS CHILILIMON 44GM8.00,16
BINGO TEDHE MEDHE XTRA TEEKHA 37.4GM12.00,4
BINGO TEDHE MEDHE MASALA TADKA 80GM8.00,16
BINGO XXX CHILLI CHEESE 28GM 1012.00,8
ENGAGE INDIGO SKIES PARFUM 100ML 6492.00,429
VIVEL SANDAL OIL GLO SOFT SKIN 100GM432.00,13
7 UP 400+150ML 20.00,30
7 UP 2.5L,9
7 UP 750ML,15
7 UP 750ML,24
PEPSI 250ML,30
MOUMTAIN DEW 250MLCEN,30
SLICE 250ML 19.00,30
PEPSI BLACK ZERO SUGAR 500ML 2030.00,17
THOLUR KAYAM 25GM 40,20
THO TEDER MANGO 500GM,3
THOLUR KAYAM POW 20GM,20
THO CHICKEN MASALA 100GM,20
THOLOOR SAMBAR POWDER 100GM20.00,30
THO TENDER MANGO PIC 200GM POU6.00,58
THO LIME PICKLE 100GM,20
THO MANGO PICK 100GM 15,20
PRAN LITCHI 200ML*(48N),48
PRAN FLOAT DRINKO LICHI 250ML(35)(24N)24.00,29
PRAN LITCHI 150ML*(72N),144
PRAN DRINKO PLOAT PINEAPPLE 250ML24.00,29
BELLAM 1KG,35
BELLAM 250G,20
BARKATHSILVER 11,40
RAVA 500GM,20
ELITE BRAN FLAKES 34KG,3
RAVA 1KG,15
RAVA 250GM,20
DH SAMBA BROKEN WHEET 1KG6.00,179
DH SAMBA BROKEN 500GM,10
AMUL PANEER 200G MRP115,12
AMUL FRESH CREAM 250ML,12
AMULYA 1KGPCH,3
AMUL BITTER CHOCOLATE 150GM2.00,144
AMUL COW GHEE 500ML,3
AMULYA MILK POW 500PCH,24
AMUL DARK CHOCLATE 150GM 1102.00,144
MAGGI CHICKEN STOCKCUBE 18GM 25288.00,18
MAGGI TOMATO KETCHUP BOTTLE 200GM6.00,57
AVT PREMIUM TEA 500GM,48
AVT PREMIUM TEA 100GM,240
SWAD ADATT MATTA RICE 5KG,1
ADATT PLUS MATTA RICE 50% 1KG3.00,90
HE SPRE AIMOND 150G 24/140,2
HE SYRUP CHO180GMX32 RS97.002.00,87
HE SYR CHOCO PCH 1*12(10),20
HE POP JR RS5(WATMEL),192
HE POP JR RSS(MANGO),192
HE POP ORNGE,192
HE POP JR RS5 (STBRY),192
HE POP JR LOLLI CHERRY FLA 9.5GM 5192.00,4
UJALA EXOANTTBAC 2IN1 35,192
ALP POP MILKY CARAMEL,12
ALP POP CREM STRAWBERY,24
ALPENLIEBE ECLAIRS POP 8GM48.00,4
CHUPACHUPS MANGO&ORANGE 12GM36.00,4
CHUPACHUPS RAWMANGO&TAMARIND FLA 11GM36.00,4
CHUPACHUPS GUAVA&TAMARIND12GM 524.00,4
CHUPA CHUPA SOUR BELT 10GM120.00,4
ALP POP CREAM ORANGE,12
CHUPA CHUPS CRAZYFEET STOMPSTOMP 21GM8.00,8
CHUPACHUPS CRAWLERS HISS HISS 21GM 1016.00,8
JUZT JELLY ORANGE BEARS 22.4GM8.00,8
ALP JUZTJELLY STR&BANA&ORA FLA 22.4 GM16.00,8
ALPEN JUZTJELLY STB 225PC JAR 832.5G225.00,0
BRI ARROWROOT THIN 139.2G 2560.00,21
BRI TOASTEA RUSK 250GM 50,32
BRI TOASTEA RUSK 72GM,32
EAGER PONKATHIR PUTTUPODI 500GM20.00,33
PONKATHIR PUTTU PODI 5KG,5
EAGER PONKATHIR RICEPODI 5KG5.00,299
EAGER MANTHI RICE KIT 1KG,3
EAGER CARDAMOM(ALLAM)RS1050.00,7
EAGER MASALA PWD(10RS),100
EAGER JEERA CANDY 25GM(RS10)20.00,7
EAGER YEST 5GM(RS10),50
EAGER PAPPAD RING FRAMES 35GM(RS10)10.00,7
EAGER PAPPAD RING FRAMES 35GM(RS10)10.00,7
EAGER KARIMJEERAKAM RS10.0010.00,7
EAGER PEPPER POW 4G(RS10),20
EAGE GREENCHILLI SAUSE 200GM48.00,32
EAGER PONKATHIR PUTTUPODI 1KG10.00,66
EAGER CASHEW NUTS 8GM,50
EAGER LEMON CANDY 25GM(RS10)20.00,7
EAGER PAPPAD RING FRAMES 35GM(RS10)10.00,7
EAGER GRAMBU(RS10),20
EAGER CHUKKU KAPPI 25G(RS10)20.00,8
AMUL B/SCOTCH GOLD 1LR 260,2
AMUL CHOCLATE MAGIC1L195,2
AMUL CHOCOMALTINO 1LTR 3001.00,222
AMUL STRY MAGIC(1LMRP150),2
AMUL VANILAMAGIC 1LT RS180 4.00,148
